排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
11,1.2699939438447352,601103687392797,"1PC 可爱冰晶小蓝龙雪地嬉戏图案的床笠，独立的一件深口袋床笠、全包围床单、QUEEN,KING,SINGLE适合卧室、双人加大，床上用品，四季通用、装饰 可机洗聚酯纤维床笠 圣诞节、情人节、万圣节等的理想选择",14.57,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/8c4faf21efa8498eb6dbaf25b13ddcb7-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103687392797&search_method=user,910.csv,4
12,1.2503387447662628,606002636245829,1个 2D平面设拉子耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰品等表面，2D平面,2.11,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/1723316bf9b34178b64e00ec699ce762-goods.jpeg,https://www.temu.com/search_result.html?search_key=606002636245829&search_method=user,911.csv,4
13,1.239206624062383,606035049837020,"1pc, Cute Winter Owls Large Capacity Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",5.58,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/dcb8aa96-d2ae-4a1e-b112-c45fe731fa73_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606035049837020&search_method=user,911.csv,3
14,1.2365137101795858,605691452483254,"1pc,Monochrome Abstract Heart Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.02,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/2528c7d9-6e19-4e6b-95f4-217bbfe5c959_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605691452483254&search_method=user,911.csv,8
15,1.234073892723246,606152893003372,1个2D平面德国耐用圆形冰箱贴，适用于将照片、明信片等贴在冰箱上，作为厨房装饰，2D平面,2.15,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/5e46cfa2782848d291970bf06e1357ae-goods.jpeg,https://www.temu.com/search_result.html?search_key=606152893003372&search_method=user,911.csv,25
16,1.2330255784670034,606703437316842,"感恩节丰收小兔子木墩玻璃贴商场橱柜装饰节日自粘窗贴, 家居墙贴, 家居装饰品窗贴 可移除自粘贴, 节日表面装饰, 季节性粘合艺术, 节日贴纸, 装饰艺术风格, 装饰艺术窗贴，PVC材质，自粘贴纸，适用于春季，夏季，等节日装饰贴",1.17,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/b1cae86dedfc4e54b2c4523070f9d829-goods.jpeg,https://www.temu.com/search_result.html?search_key=606703437316842&search_method=user,910.csv,3
17,1.2291915533335371,605575219912330,1个 2D平面墨西哥耐用圆形冰箱贴，适用于将照片、明信片等贴在冰箱上，作为厨房装饰，2D平面,1.51,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/e91909d3c61f49809e83f73ad2b11097-goods.jpeg,https://www.temu.com/search_result.html?search_key=605575219912330&search_method=user,911.csv,1
18,1.2068207280067633,606667332772198,1个/1件 适用于家庭、橱柜、冰箱和洗碗机的磁性磁贴 - 复古字母WC组合字母，带华丽涡卷纹饰和仿旧象牙白背景，圆形徽章亚克力磁贴，用于冰箱、黑板装饰，2D平面款,1.44,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a61f7c/0692a796-e836-45e9-90ae-49079bbd0224_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606667332772198&search_method=user,911.csv,0
19,1.2014102529232324,605925528165746,"1pc, Red Heart Black Stripes Reusable Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",4.06,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/ad23c4c2-a0e2-46e9-80de-5085aae529bb_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605925528165746&search_method=user,911.csv,6
20,1.1874005735667088,607512300460377,1个加拿大落基山脉冰箱磁贴，适用于班夫风景 - 麋鹿与雪山磁性装饰，亚克力磁性贴纸，适用于冰箱、书桌、办公室 - 送给自然爱好者的圣诞礼物，班夫主题装饰，带有麋鹿图案，2D平面设计。,1.35,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/42279a36-8374-4794-9ddc-73051a3a29a6.jpg,https://www.temu.com/search_result.html?search_key=607512300460377&search_method=user,911.csv,0
21,1.1688026701748981,606468640218597,蚊帐免安装便携，带防蚊网的床罩头罩，便携式设计，适用于旅行与家居（可手洗，安装简便）,4.65,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/74e4627e-cd16-483c-8357-382a8ed4abae.jpg,https://www.temu.com/search_result.html?search_key=606468640218597&search_method=user,909.xlsx,0
22,1.1658451326826729,601105597055398,2D平面，[2D平面]1件 31.49X62.99英寸/80X160厘米 大尺寸无框现代抽象帆布壁画 家居墙壁装饰艺术 写实海报 适用于客厅、卧室、走廊、沙发墙壁悬挂 - 金色与木色几何艺术品，2D平面,18.28,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/20195053a14/ba7f353d-ca50-4daf-b683-0552dc46ff05_800x800.jpeg,https://www.temu.com/search_result.html?search_key=601105597055398&search_method=user,909.xlsx,13
23,1.1622994562761098,606738199728454,酒店级弹性床罩床裙，防滑防尘透气床垫保护罩，全包围贴合设计，精致蕾丝花边装饰，现代简约美观，非印花面料，柔软耐用，可机洗易护理，四季通用，适合卧室、客房及酒店使用,11.06,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b63233ef-122f-4a07-8516-24ab8523c685.jpg,https://www.temu.com/search_result.html?search_key=606738199728454&search_method=user,909.xlsx,3
24,1.1527049233705098,607344192752717,"1件,新款2D平面静电窗贴，秋季枫叶树枝图案，森林小鸟与鸟巢木屋造型，温馨田园风格，适用于客厅卧室浴室门窗玻璃美化装饰贴，秋季-感恩节理想礼物",2.57,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/9703818758084d6aac5de58686dfb2ec-goods.jpeg,https://www.temu.com/search_result.html?search_key=607344192752717&search_method=user,911.csv,8
25,1.1438365658605971,606516086158760,"1pc,Dark Blue Floral Pattern Reusable Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.04,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/62a247a5-cf66-40d1-a503-cf5f7c22565a_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606516086158760&search_method=user,911.csv,8
26,1.1368644787367224,607665107388365,2件装 流苏丝绒三合一杯型文胸收纳袋/拼色文胸包/旅行内衣整理袋/多层内衣收纳袋/内衣袜子整理袋/贴身衣物收纳袋/旅行便携收纳袋/旅行必备品,6.12,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/6712bf63d1b0433f8d088b7af959ab8f-goods.jpeg,https://www.temu.com/search_result.html?search_key=607665107388365&search_method=user,911.csv,0
27,1.1364531888056615,606824770168775,2D平面印花绿色叶片沙发套，1件装，防滑沙发套，沙发垫套装，四季通用,20.9,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/217a7c2178/8b2478d4-110c-4e4d-a93c-3a9cf8983327_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606824770168775&search_method=user,910.csv,7
28,1.1297814349961304,601103687364420,"1PC 梦幻海洋粉色美人鱼可爱美丽图案的床笠，独立的一件深口袋床笠、全包围床单、QUEEN,KING,SINGLE适合卧室、双人加大，床上用品，四季通用、装饰 可机洗聚酯纤维床笠 圣诞节、情人节、万圣节等节日礼物的理想选择",17.3,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/1fcfdf6cbbf44863973114c99ce1864b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103687364420&search_method=user,910.csv,1
29,1.1288423264156078,606534406916978,1个 2D平面 尼泊尔耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰等物品上，2D平面,1.94,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/c063d137d7ee41b0b54d805fd6352d8b-goods.jpeg,https://www.temu.com/search_result.html?search_key=606534406916978&search_method=user,911.csv,3
30,1.126524812720069,605512674412592,1个 2D平面 佐治亚州耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰等物品上，2D平面,2.74,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/8b559e05548547f2bb4f353ee95b8b7a-goods.jpeg,https://www.temu.com/search_result.html?search_key=605512674412592&search_method=user,911.csv,25
31,1.1237640513809763,605873451727021,2D平面，海报与印刷品[2D平面]1件 31.49X62.99英寸/80X160厘米 大尺寸无框现代家居艺术风格高品质帆布印刷家居装饰画 适用于客厅、卧室、办公室等 - 月光下的山景与时钟和飞鸟，2D平面,14.91,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/2123a67728/fcb2012b-8bb9-45f4-bc4d-51aa21f3a859_800x800.jpeg,https://www.temu.com/search_result.html?search_key=605873451727021&search_method=user,909.xlsx,0
32,1.1227937054416557,605597500041550,1个 2D平面 危地马拉耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰等物品上，2D平面,2.38,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/23a8fa38e06e4276824a284bb859116a-goods.jpeg,https://www.temu.com/search_result.html?search_key=605597500041550&search_method=user,911.csv,5
33,1.1116913868304652,606810140445949,2件装 橙灰黑几何块纹理数码印花窗帘，涤纶面料遮光，隐私保护，适用于客厅、卧室、厨房装饰,4.92,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/21152342270/0d094c8b-7f60-402a-bc10-4a7b59ea3202_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606810140445949&search_method=user,911.csv,0
34,1.1099816779901137,606785712797629,50只透明塑料餐盘，金边透明餐盘，加厚金色餐盘，锤纹宴会餐盘套装，含25只透明甜点盘、25只宴会餐盘，适用于婚礼、派对,46.37,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/aisc_image/algo/opt/93776bfa/4fb450e4/8fc7e941ec664ebaa0030847cee9cf50-goods.jpeg,https://www.temu.com/search_result.html?search_key=606785712797629&search_method=user,911.csv,4
35,1.104376399774061,606585879419366,1个2D平面迪拜耐用圆形冰箱磁铁，适合粘贴照片、明信片等于冰箱，作为厨房装饰品,1.52,家居厨房用品,厨房用品,https://img.kwcdn.com/product/algo_check/auto/1b1eed7ef92e037098be70706c449dee_1782194524015.jpg,https://www.temu.com/search_result.html?search_key=606585879419366&search_method=user,911.csv,0
36,1.1042745834834706,607680072614315,2D平面画作，1件装 大尺寸现代抽象帽子与条纹墙壁艺术海报 - 无框帆布画，适用于客厅、卧室、办公室装饰，极简主义大幅面抽象画，当代装饰礼品之选，中性色调适配各种室内风格，2D平面,13.34,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/2123a6789c/799f3c55-aa52-4c06-a59e-82146af06590_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607680072614315&search_method=user,909.xlsx,3
37,1.1013071936356755,606045854364694,"3件套床垫防护套,1件床笠+2个枕套（无填充物）2D Flat Priting,热带海滩风景,写实风格,海滩节,四季皆宜,可机洗,居家、宿舍、主卧、客房可用",15.09,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/f03b10a6004b40faa8ee94f765595400-goods.jpeg,https://www.temu.com/search_result.html?search_key=606045854364694&search_method=user,909.xlsx,15
38,1.092304275683083,605780304570474,1个北欧狼徽磁性冰箱贴，适用于家庭、橱柜、洗碗机和黑板——三狼头带皇冠徽章、如尼纹丝带、骷髅图案与交叉剑——亚克力装饰，适用于冰箱、厨房、门，2D平面款,2.22,家居厨房用品,厨房用品,https://img.kwcdn.com/product/217a7c11ee/2d3b85bd-f63a-459a-ac49-1a073e89a13d_800x800.jpeg,https://www.temu.com/search_result.html?search_key=605780304570474&search_method=user,911.csv,1
39,1.0909407873000043,606692699941627,"1pc 2D Flat Printing Wood Grain Patchwork Pattern Natural Style Sofa Cover, All-Season Sofa Cushion All-In-One Sofa Cover with Tassels, Sofa Protector Cover, Machine Washable, Suitable for 1/2/3/4/5-Seater Sofas",23.48,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/21f06613b0/df702050-8083-4979-a665-be3c6bf5e44e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606692699941627&search_method=user,911.csv,0
40,1.087669902889153,607000125622305,1个 2D平面埃及风耐用圆形冰箱贴，适用于将照片、明信片等吸附在冰箱上，可作为厨房装饰，2D平面款,2.6,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/601ff1f58137408391800099aa03c147-goods.jpeg,https://www.temu.com/search_result.html?search_key=607000125622305&search_method=user,911.csv,9
41,1.0860348770807688,606786450987378,"Flannel Blanket 1pc, Ghosts with Pumpkins, Soft Air Conditioning Blankets, Office Sofa Blankets, Nap Blankets, Camping Blankets, Perfect for a Short Getaway; Makes a Great Christmas Gift for Family, Friends, And Classmates",12.94,家居厨房用品,毯子,https://img.kwcdn.com/product/217a7c3564/2b155570-5ff8-4f64-9afc-cf3f3b10c54b_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=606786450987378&search_method=user,909.xlsx,6
42,1.082797316403995,606384821271402,1件 马耳他港磁贴 适用于家庭、橱柜、冰箱和洗碗机 - 马耳他主题圆形亚克力材质 带有马耳他字样、帆船、穹顶城市天际线、石拱门和满月图案 - 冰箱贴厨房装饰品，2D平面,1.95,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a628b0/f2972652-df85-4212-a320-64aae1dbe316_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606384821271402&search_method=user,911.csv,3
43,1.0801284649937957,606602102974066,2D平面 1件装 节日圣诞圆形磁性冰箱贴，假日装饰亚克力冰箱贴，圣诞老人主题耐用冰箱贴装饰品，季节性家居装饰，适用于家庭、办公室、橱柜、冰箱、洗碗机装饰摆件艺术品，尺寸3.15x3.15英寸，2D平面,1.26,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/313469d6624741b09882ebbb4add71da-goods.jpeg,https://www.temu.com/search_result.html?search_key=606602102974066&search_method=user,911.csv,0
44,1.0794727653530052,606647737009153,8件套 衣柜悬挂塑料服装收纳袋套装(2 挂式塑料服装收纳袋 + 6 衣架连接挂钩)，透明厚款防尘衣物袋附带衣架连接挂钩，可用于干洗整理、外出旅行、洗衣店防护，居家实用收纳用品,6.18,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/d39cc28642e34cb78188a908e7d2ee7d-goods.jpeg,https://www.temu.com/search_result.html?search_key=606647737009153&search_method=user,909.xlsx,6
45,1.0794056818489934,606584805655112,"1pc,Vintage Floral Art Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.32,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/20b804b4-4a84-4b95-9d1d-bf933b792255_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606584805655112&search_method=user,911.csv,5
46,1.078024325412191,606017131765090,1个2D平面阿格拉印度耐用圆形冰箱磁铁，适用于粘贴在冰箱、白板、手工艺品、照片、贴纸、明信片、工具、厨房装饰等,2.35,家居厨房用品,厨房用品,https://img.kwcdn.com/product/algo_check/auto/3f8fcbb725db7cb563c1ed2da843c675_1780801862394.jpg,https://www.temu.com/search_result.html?search_key=606017131765090&search_method=user,911.csv,3
47,1.0773939054337671,606849600437076,"1件2D平面图案贴花,圣诞窗贴纸，窗花，玻璃贴画 窗户门窗装饰贴纸圣诞麋鹿骑行摩托图案玻璃贴膜可拆卸，易于安装，适用于浴室、厨房、办公室、家居装饰防水贴纸、浴室窗户装饰、婚礼和派对、装饰门窗、圣诞节玻璃窗户装饰贴纸 双面打印-玻璃贴膜",1.44,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/4dfcd1775f28449383d7a106cbce8380-goods.jpeg,https://www.temu.com/search_result.html?search_key=606849600437076&search_method=user,911.csv,3
48,1.0759507143004559,606712698346644,"Portable Zippered Utensil Storage Bag, Suitable for Forks, Spoons, and Knives, Ideal for Travel, Camping, Picnics, School, and Office, Keeps Utensils Neat and Organized, Utensil Case, Utensil Storage Box",1.03,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/1d8a56772e4c4519a6c9a2ffb3ff1314-goods.jpeg,https://www.temu.com/search_result.html?search_key=606712698346644&search_method=user,909.xlsx,9
49,1.0704261950195155,606406296097380,2D平面，1个装维京传奇亚克力圆形磁性冰箱磁铁，厨房装饰，维京长船，条纹帆，海洋波浪，角斗士，现代简约美学，非常适合家庭、橱柜、冰箱、洗碗机、黑板,2.15,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a6789c/6bb2bc5c-ec8f-4188-8964-74706b1aba33_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606406296097380&search_method=user,911.csv,1
50,1.0653463618399353,606248791564617,二维平面 自定义图片帆布墙画 配松木画框，定制裱框，个性化客厅墙面装饰，独特家居装饰品，印刷自定义照片，裱框挂画海报画布印刷品，定制照片，二维平面,5.29,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/4db5233a-bd4f-4b46-99de-098a7edcbdab.jpg,https://www.temu.com/search_result.html?search_key=606248791564617&search_method=user,909.xlsx,32
51,1.0636250021578764,606751487282501,多功能红外测温枪，高精度LED数字大屏，(-58℉至1022℉）/（-50℃至550℃）非接触式激光功能，物距比12:1，发射率可调，适用于烹饪、披萨烤箱、肉类、烧烤、发动机，激光红外表面工具配件，工业热度测量设备，便携式热度计,9.03,家居厨房用品,酿酒用具,https://img.kwcdn.com/product/open/1776adcf76f0400cba1584fa6a3659d4-goods.jpeg,https://www.temu.com/search_result.html?search_key=606751487282501&search_method=user,909.xlsx,0
52,1.060794472802153,606626799058054,厨房水槽浴室排水过滤器 地板地漏排水过滤网罩 预防马桶堵塞阻隔蚊虫杂物 水槽地漏通用防堵防虫盖 颜色随机发出家用下水道防护配件,1.32,家居厨房用品,浴室用品,https://img.kwcdn.com/product/fancy/44420a1d-dcb5-4644-a9f3-4103364c1586.jpg,https://www.temu.com/search_result.html?search_key=606626799058054&search_method=user,910.csv,0
53,1.058124176753402,606308853988354,1个2D平面乌克兰耐用圆形冰箱贴，适用于将照片、明信片等贴在冰箱上，作为厨房装饰，2D平面,2.28,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/bb98e5c981f746b3bcf6ba70f12f8bba-goods.jpeg,https://www.temu.com/search_result.html?search_key=606308853988354&search_method=user,911.csv,29
54,1.0554229294673168,605593003723493,1个2D平面古晋耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰品等表面，2D平面款,2.07,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/3abd6f26681f412aab4a11f0c91023b3-goods.jpeg,https://www.temu.com/search_result.html?search_key=605593003723493&search_method=user,911.csv,1
55,1.0548473999323125,606637536464284,1张田园木栅栏南瓜静电窗贴，枫叶松果感恩节门店橱窗入户玻璃装饰，2D平面,2.27,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/3ee70a09a3f241069f35872dea6cd13d-goods.jpeg,https://www.temu.com/search_result.html?search_key=606637536464284&search_method=user,911.csv,0
56,1.0529381558925495,606639683958370,"2D平面图案,圣诞窗贴玻璃静电贴纸，窗贴，玻璃贴画，窗户贴花圣诞帽鸵鸟搞怪领结静电膜易于安装，适用于浴室、厨房、办公室、家居装饰防水贴纸、浴室窗户装饰、婚礼和派对、装饰门窗、圣诞节玻璃窗户装饰贴纸 双面打印-玻璃贴膜",1.04,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/c40a79186f774b668af3cdc227a65af9-goods.jpeg,https://www.temu.com/search_result.html?search_key=606639683958370&search_method=user,911.csv,0
57,1.0490774283696302,607504046066774,1个3层窄间隔移动储物架 | 5.12英寸超窄PP塑料多功能推车 | 带万向轮和不锈钢管 | 适用于浴室、洗衣机侧边、厨房、卧室、落地架 | 多层置物架 | 厨房置物架 | 落地推车夹缝收纳架子 | 多层客厅浴整理神器间,11.23,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/02dd4fe6632446e3942c05a4963e0b46-goods.jpeg,https://www.temu.com/search_result.html?search_key=607504046066774&search_method=user,910.csv,0
58,1.0470947158378177,601105811190797,"Posters & Prints, 2D平面3件套木框帆布画，水彩风格灯塔与帆船艺术卡通海洋创意海报，适合家居墙面装饰",22.86,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/40432229aafb4adb9c794d05975c7ac2-goods.jpeg,https://www.temu.com/search_result.html?search_key=601105811190797&search_method=user,909.xlsx,2
59,1.0452202848678982,606847452992128,18个装磁性窗帘夹套装，免钉窗帘夹，适用于遮光床帘，自粘式缝隙闭合器，易于安装且耐用，卧室、客厅和办公室的隐私窗帘固定器，银色窗帘装饰,2.45,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/2360af64-79cd-4552-9789-bc46eb83952a.jpg,https://www.temu.com/search_result.html?search_key=606847452992128&search_method=user,910.csv,3
60,1.042799937128768,606795242273245,雏菊靠垫 毛绒花卉坐垫 舒适阅读装饰 美学家居用品 & 节日装饰,6.38,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/99222a7be786428d8aeb7bdae5f60a88-goods.jpeg,https://www.temu.com/search_result.html?search_key=606795242273245&search_method=user,911.csv,18
61,1.0397445179022182,606551133750567,2D平面，1件装，复古铝制标牌装饰（英文），户外牌匾和墙面艺术（20.32 cm X 20.32 cm），凯尔特风格：The Bhoys，复古墙面艺术，适用于前院、门、门廊、客厅、车库的家居装饰，送给朋友的礼物，咖啡馆,4.35,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/a6536cb1-c1e7-4bab-b4c5-a65d7d0cbaec.jpg,https://www.temu.com/search_result.html?search_key=606551133750567&search_method=user,911.csv,4
62,1.0388539598590172,607183198638677,12个装咖啡杯套 - 可重复使用玻璃瓶杯套 - 耐热饮料杯套 - 茶杯和牛奶杯保护套 - 家用旅行瓶盖保护套,11.71,家居厨房用品,食品服务设备,https://img.kwcdn.com/product/fancy/e5304873-08e7-4177-b34c-563982bfed99.jpg,https://www.temu.com/search_result.html?search_key=607183198638677&search_method=user,909.xlsx,0
63,1.035145771729946,607591019167823,"10pcs Random Cat-Shaped Snack Bag Sealing Clips Food Bag Packaging Sealing Clips Lightweight Durable, Kitchen Gadget, Lightweight And Convenient for Home",1.17,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/183f0addafbd47389127008e22f5530e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607591019167823&search_method=user,910.csv,2
64,1.032078465017468,606070483293251,"2D平面, 2D平面, 1件无框或带框墙壁艺术海报和印刷品, 个性化这就是我们3张照片拼贴木质风格帆布印刷品, 定制情侣照片墙装饰，带有我们的生活我们的故事我们的家口号，浪漫爱情艺术品",4.48,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/fb69b61e44044aaaa699453da9ae1656-goods.jpeg,https://www.temu.com/search_result.html?search_key=606070483293251&search_method=user,911.csv,1
